Store,Month,Revenue
NM0034,1,1641868.5
NE0041,1,1684122.31
SC0345,1,1602367.81
NM0331,1,2136506.17
SC0001,1,1711894.92
SC0041,1,1821858.03
NC0041,1,1589505.98
VA0031,1,1712486.57
RI0031,1,1588367.22
MA0041,1,1646971.06
NM0004,1,1667556.78
NM0003,1,1579534.73
MA0044,1,1612447.05
ME0003,1,1707658.78
NM0034,2,1610153.55
NE0041,2,1682483.83
SC0345,2,1583280.04
NM0331,2,2257639.54
SC0001,2,1607277.33
SC0041,2,1766608.16
NC0041,2,1702379.91
VA0031,2,1751483.98
RI0031,2,1528629.76
MA0041,2,1670236.57
NM0004,2,1671119.27
NM0003,2,1629307.06
MA0044,2,1746657.74
ME0003,2,1853514.87
NM0034,3,1585178.11
NE0041,3,1687700.39
SC0345,3,1735259.43
NM0331,3,1999677.47
SC0001,3,1676613.62
SC0041,3,1706665.01
NC0041,3,1701138.37
VA0031,3,1666318.91
RI0031,3,1515876.23
MA0041,3,1743288.85
NM0004,3,1666627.82
NM0003,3,1624217.43
MA0044,3,1789366.91
ME0003,3,1722491.16
NM0034,4,1672748.94
NE0041,4,1726102.56
SC0345,4,1620238.33
NM0331,4,1940276.99
SC0001,4,1605478.8
SC0041,4,1633700.61
NC0041,4,1654241.7
VA0031,4,1470841.25
RI0031,4,1532390.73
MA0041,4,1596073.01
NM0004,4,1634755.75
NM0003,4,1718679.18
MA0044,4,1786762.55
ME0003,5,1563021.14
NM0034,5,1541626.53
NE0041,5,1753216.11
SC0345,5,1458646.72
NM0331,5,2019376.33
SC0001,5,1825611.35
SC0041,5,1595935.18
NC0041,5,1608781.46
VA0031,5,1860869.69
RI0031,5,1798746.08
MA0041,5,1723615.98
NM0004,5,1681200.67
NM0003,5,1685367.63
MA0044,5,1711894.73
ME0003,5,1635520.91
NM0034,6,1772127.83
NE0041,6,1820524.39
SC0345,6,1733670.25
NM0331,6,2172033.38
SC0001,6,1763276.78
SC0041,6,1607644.55
NC0041,6,1570727.78
VA0031,6,1688575.14
RI0031,6,1663068.55
MA0041,6,1778415.67
NM0004,6,1781182.16
NM0003,6,1672972.75
MA0044,6,1730721.61
ME0003,6,1580990.26
NM0034,7,1666504.91
NE0041,7,1674568.92
SC0345,7,1666147.98
NM0331,7,2078577.75
SC0001,7,1688007.39
SC0041,7,1615363.67
NC0041,7,1863459.88
VA0031,7,1602212.62
RI0031,7,1663512.76
MA0041,7,1644629.74
NM0004,7,1642902.39
NM0003,7,1717859.16
MA0044,7,1711445.54
ME0003,7,1764553.35
NM0034,8,1764957.32
NE0041,8,1802552.35
SC0345,8,1673540.63
NM0331,8,2156885.75
SC0001,8,1782755.93
SC0041,8,1765623.94
NC0041,8,1614183.53
VA0031,8,1605804
RI0031,8,1678474.69
MA0041,8,1827858.48
NM0004,8,1542015.9
NM0003,8,1491876.55
MA0044,8,1607973.73
ME0003,8,1625032.24
NM0034,9,1693750.06
NE0041,9,1549431.5
SC0345,9,1571811.24
NM0331,9,2035991.83
SC0001,9,1625687.78
SC0041,9,1611611.77
NC0041,9,1538688.5
VA0031,9,1492017.54
RI0031,9,1661751.23
MA0041,9,1704844.02
NM0004,9,1573221.58
NM0003,9,1779970.87
MA0044,9,1556241.79
ME0003,9,1640126.65
NM0034,10,1776252.15
NE0041,10,1628540.02
SC0345,10,1663062.35
NM0331,10,2224604.83
SC0001,10,1684955.95
SC0041,10,1664200.36
NC0041,10,1827991.65
VA0031,10,1504571.34
RI0031,10,1646376.48
MA0041,10,1659396.09
NM0004,10,1707553.09
NM0003,10,1591958.05
MA0044,10,1769173.36
ME0003,10,1617203.81
NM0034,11,1668557.46
NE0041,11,1740830.79
SC0345,11,1491883.16
NM0331,11,2089457.86
SC0001,11,1751028.9
SC0041,11,1684453.96
NC0041,11,1591222.41
VA0031,11,1732177.24
RI0031,11,1642591.92
MA0041,11,1606770.37
NM0004,11,1698976.77
NM0003,11,1756158.47
MA0044,11,1865163.72
ME0003,11,1468064.47
NM0034,12,2705792.5
NE0041,12,2412214.57
SC0345,12,2415358.36
NM0331,12,2826570.05
SC0001,12,2341589.38
SC0041,12,2404866.03
NC0041,12,2452462.39
VA0031,12,2378423.18
RI0031,12,2458570.55
MA0041,12,2676495.97
NM0004,12,2507211.57
NM0003,12,2560826.04
MA0044,12,2608373.07
ME0003,12,2468168.07
